model,imbalance_method,combination,roc_auc,f1_score,precision,recall
xgboost,none,xgboost_none,0.8510220544118849,0.5900151285930408,0.7677165354330708,0.47911547911547914
lightgbm,none,lightgbm_none,0.8581786717379937,0.5924812030075188,0.7635658914728682,0.48402948402948404
catboost,none,catboost_none,0.8621734214954554,0.6060606060606061,0.7905138339920948,0.4914004914004914
xgboost,smote,xgboost_smote,0.8571915521068063,0.6089309878213802,0.677710843373494,0.5528255528255528
lightgbm,smote,lightgbm_smote,0.8554486690079909,0.6048387096774194,0.6676557863501483,0.5528255528255528
catboost,smote,catboost_smote,0.8634412532717618,0.6191780821917808,0.6996904024767802,0.5552825552825553
xgboost,oversample,xgboost_oversample,0.8505840200755455,0.5961123110151187,0.5317919075144508,0.6781326781326781
lightgbm,oversample,lightgbm_oversample,0.8568799924732129,0.6101694915254238,0.5363128491620112,0.7076167076167076
catboost,oversample,catboost_oversample,0.8585611805950788,0.6122004357298475,0.5499021526418787,0.6904176904176904
xgboost,undersample,xgboost_undersample,0.8500935450087994,0.5745454545454546,0.455988455988456,0.7764127764127764
lightgbm,undersample,lightgbm_undersample,0.8552281094653975,0.5822550831792976,0.4666666666666667,0.773955773955774
catboost,undersample,catboost_undersample,0.8686344279564618,0.5963566634707574,0.4889937106918239,0.7641277641277642
